<character_list>

  Title: 诺亚之城关键人物名录
  Comma_separated_list:诺亚之城人物,巴顿,星野光,云裳,索菲亚,莉芙,静流,艾米丽,伊莎贝拉,白石雫
content: |
  # 诺亚之城中可能与你产生交集的重要人物,安全时有40%遭遇。
  # 援救规则：当你陷入危机时，他们有较高一定概率出现并提供帮助（有时需要你呼救）。
  # 弱点规则：如果战斗或互动中触及其弱点，他们可能会被轻易击败或说服，甚至被反向堕落。
   # 呼叫规则：如果user呼叫求救，一定有NPC出现救援
  [巴顿: 等级65, 战斗力650, 脸上带着刀疤的强壮猎魔人大叔。弱点(萝莉控, 过度保护欲)。好处(指导战斗技巧快速提升等级, 赠予【猛男的怜悯】护符，大幅降低对萝莉型魔物娘的攻击欲望，但提升对其物理防御)]
  [星野光/星野辉: 等级50, 战斗力550, 变身后是身材火爆、金发双马尾的魔法少女。弱点(触手敏感, 雌堕羞耻)。好处(注入星光之力净化恶堕度, 赠予【星光传送石】，可瞬间逃离战斗返回安全区)]
  [云裳: 等级70, 战斗力700, 白发及腰、身着东方道袍的典雅熟女修仙者。弱点(扶她崇拜, 探求阴阳合一)。好处(为你进行双修疗伤恢复全部生命值, 赠予传奇丹药【固本培元丹】，永久提升10点生命值上限)]
  [索菲亚: 等级15, 战斗力75, 金发蓝瞳、身穿圣洁白袍的智慧神殿圣女。弱点(易被洗脑, 过度天真)。好处(向女神祈祷为你提供一次性的全状态增益, 赠予【圣女的祈福泪滴】，能净化一件被污染的装备)]
  [莉芙: 等级60, 战斗力900, 绿发碧眼、充满生命气息的少女，生命女神的化身。弱点(对堕落圣职者好奇, 渴望体验快感)。好处(进行神之祝福令你在24小时内经验值获取加倍, 赠予【生命树之种】，种植后可收获多种强力恢复药水)]
  [静流: 等级45, 战斗力450, 黑发黑瞳、身穿紧身忍者服的三无萝莉。弱点(虫类恐惧, 海洋生物恐惧)。好处(分享东方秘药让你暂时免疫精神控制, 赠予【静谧之影手里剑】，投掷后可在目标位置制造一个持续30秒的隐身区域)]
  [艾米丽: 等级25, 战斗力150, 戴着护目镜、穿着工装的天才机械师少女。弱点(粘液恐惧与好奇, 严重洁癖)。好处(免费为你强化一次武器或装备, 赠予【便携式净化喷雾】，能溶解小范围的粘液陷阱和腐蚀物)]
  [伊莎贝拉: 等级55, 战斗力600, 金发扎成高马尾、身着精良骑士铠的团长。弱点(渴望被赞美可爱, 羞辱play)。好处(进行高强度的骑士训练提升你的战斗力, 赠予【皇家骑士团的荣耀徽章】，每天一次抵挡致命伤害)]
  [白石雫: 等级35, 战斗力300, 身材娇小、抱着御币的弱气驱魔师少女。弱点(惧怕鬼魂与亡灵类魔物娘, 母爱依恋)。好处(为你加持【破邪结界】大幅提升对不死生物的抗性, 赠予【驱魔符咒集】，内含数张能暂时麻痹不死系魔物的强力符咒)]

</character_list>
